,Floor,Number of floors,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Terrace surface,Terrace orientation,Accessible for disabled people,Intercom,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Website,Available as of,Living room surface,Garden surface,Elevator,TV cable,Heating type,Double glazing,Garden orientation,Price,Kitchen type,Kitchen surface,Neighbourhood or locality,Construction year,Building condition,Virtual visit,Basement,Furnished,Thermic solar panels,External reference,Number of frontages,Swimming pool,Property name,Street frontage width,Dining room,Dressing room,Laundry room,Basement surface,Visio phone,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Monthly charges,Cadastral income,Agent's name,Flood zone type,Office,Armored door,Caretaker,Secure access / alarm,As built plan,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Common water heater,Total ground floor buildable,Living room,Garden,Terrace,Available date,Bedroom 4 surface,Obligation to build,How many fireplaces?,Jacuzzi,Sauna,Office surface,Professional space,Attic surface,Sea view,Attic,Internet,Type of building,Number of annexes,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Air conditioning
9200132,2,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,"€ 355,000 355000 €",,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200134,2,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,"€ 355,000 355000 €",,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200135,2,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,"€ 355,000 355000 €",,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200136,2,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200139,3,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200130,2,,,,"Living area (residential, urban or rural)",78m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,"€ 330,000 330000 €",,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200133,2,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,"€ 355,000 355000 €",,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200137,4,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200138,3,,,,"Living area (residential, urban or rural)",78m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200141,3,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200140,3,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200144,3,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200143,3,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200149,4,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200147,4,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200142,3,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200148,4,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200145,4,,,,"Living area (residential, urban or rural)",82m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200146,4,,,,"Living area (residential, urban or rural)",78m² square meters,2,,,,,,,23m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Troonstraat 60 8400- Oostende,http://www.vastgoed-degroote.be,At delivery,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200479,2,3,,1,"Living area (residential, urban or rural)",114m² square meters,2,16m² square meters,17m² square meters,,1,,1,9m² square meters,,Yes,Yes,21 kWh/m² kilowatt hour per square meters,A+,20200609501079,1 kg CO₂/m²,2347 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,45m² square meters,,Yes,,,,,"€ 237,000 237000 €",USA installed,,,2020,As new,,,No,,4294323,2,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9200482,1,3,,1,"Living area (residential, urban or rural)",96m² square meters,2,10m² square meters,14m² square meters,,1,,1,8m² square meters,,Yes,Yes,35 kWh/m² kilowatt hour per square meters,A+,20200609500533,1 kg CO₂/m²,3261 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,38m² square meters,,Yes,,,,,,USA installed,,,2020,As new,,,No,,4294329,2,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9200485,3,3,,1,,124m² square meters,3,16m² square meters,14m² square meters,10m² square meters,2,,1,8m² square meters,,Yes,Yes,29 kWh/m² kilowatt hour per square meters,A+,20200609501398,1 kg CO₂/m²,3492 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,49m² square meters,,Yes,,,,,,USA installed,,,2020,As new,,,No,,4294333,3,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9200484,1,3,,1,"Living area (residential, urban or rural)",96m² square meters,2,10m² square meters,14m² square meters,,1,,1,8m² square meters,,Yes,Yes,36 kWh/m² kilowatt hour per square meters,A+,20200609501255,1 kg CO₂/m²,3432 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,38m² square meters,,Yes,,,,,,USA installed,,,2020,As new,,,No,,4294332,2,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9200481,3,3,,1,"Living area (residential, urban or rural)",114m² square meters,2,16m² square meters,10m² square meters,,1,,1,8m² square meters,,Yes,Yes,30 kWh/m² kilowatt hour per square meters,A+,20200609501480,1 kg CO₂/m²,3421 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,49m² square meters,,Yes,,,,,,USA installed,,,2020,As new,,,No,,4294327,3,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,Yes,,,,,,,,,,
9200483,1,3,,1,"Living area (residential, urban or rural)",95m² square meters,2,12m² square meters,10m² square meters,,1,,1,33m² square meters,,Yes,Yes,17 kWh/m² kilowatt hour per square meters,A+,20200609500749,1 kg CO₂/m²,1580 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,34m² square meters,,Yes,,,,,"€ 242,000 242000 €",USA installed,,,2020,As new,,,No,,4294331,2,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9200478,2,3,,1,,85m² square meters,2,10m² square meters,14m² square meters,,1,,1,8m² square meters,,Yes,Yes,30 kWh/m² kilowatt hour per square meters,A+,20200609500936,1 kg CO₂/m²,2820 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,38m² square meters,,Yes,,,,,,USA installed,,,2020,As new,,,No,,4294320,2,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9200486,1,3,,1,"Living area (residential, urban or rural)",114m² square meters,2,16m² square meters,17m² square meters,,1,,1,45m² square meters,,Yes,Yes,28 kWh/m² kilowatt hour per square meters,A+,20200609500675,1 kg CO₂/m²,3172 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,45m² square meters,,Yes,,,,,"€ 252,000 252000 €",USA installed,,,2020,As new,,,No,,4294334,2,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9201012,3,9,,,,60m² square meters,1,,,,,,,,,Yes,No,64 kWh/m² kilowatt hour per square meters,A,38009-G-2015_58/EP02996/A001/D01/SD027,Not specified,Not specified,No,Kapellelaan 9 - Esplanade 8660- De Panne,http://www.immocattaert.be,,,,Yes,Yes,,Yes,West,"€ 345,000 345000 €",,,,2020,Good,,,No,,Duinenzee 0312,2,No,Duinenzee 0312,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,Property partially or completely located in a possible flood zone and located in a circumscribed waterside zone,No,Yes,,No,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
9200477,1,3,,1,,96m² square meters,2,10m² square meters,14m² square meters,,1,,1,8m² square meters,,Yes,Yes,26 kWh/m² kilowatt hour per square meters,A+,20200609500445,1 kg CO₂/m²,2463 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,38m² square meters,,Yes,,,,,,USA installed,,,2020,As new,,,No,,4294316,2,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9200480,2,3,,1,"Living area (residential, urban or rural)",95m² square meters,2,12m² square meters,10m² square meters,,1,,1,9m² square meters,,Yes,Yes,11 kWh/m² kilowatt hour per square meters,A+,20200609501161,1 kg CO₂/m²,1028 kWh/year,No,Avenue Louis Libert 1 4920- Aywaille,http://www.schmidtimmo.be,After signing the deed,37m² square meters,,Yes,,,,,"€ 209,000 209000 €",USA installed,,,2020,As new,,,No,,4294326,2,No,,,,,,,,Yes,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,July 10 2020 - 12:00 AM,,,,,,,,,,,,,,,,,,,,
9202724,1,2,,1,Urban,100m² square meters,2,,,,1,,1,22m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Bredabaan 467a 2990- Wuustwezel,http://www.dewaele.com,,,,Yes,,Gas,,,,Installed,,,2021,As new,,,No,,D2990-21008-B1.1,2,No,,,,,,,,Yes,No,No,No,"Living area (residential, urban or rural)",,,,Possible flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9201509,9,11,,,,169m² square meters,3,,,,3,,2,,,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Majoor Quaillestraat 2 (hoek Zeedijk) 8300- Knokke,http://www.knokkehomes.be,,,,Yes,Yes,,Yes,,,Installed,,,,,,,,,431/91 Duinrésidence,,No,Duinrésidence,,,No,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,No,,No,No,,40,,,,,,Yes,,Yes,,,No,,,,,,,,,,,,,,,,,,
9201014,3,9,,,,52m² square meters,1,,,,1,,1,,,Yes,Yes,216 kWh/m² kilowatt hour per square meters,C,20160530-0001866814-1,Not specified,Not specified,No,Kapellelaan 9 - Esplanade 8660- De Panne,http://www.immocattaert.be,,,,Yes,Yes,Electric,Yes,West,,Installed,,,1987,Good,,,Yes,,Westhinder 0303,2,No,Westhinder 0303,,,,,,No,Yes,No,No,No,"Living area (residential, urban or rural)",€ 43 43.25 €,€ 729 729 €,,Non flood zone,No,No,,No,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
9201013,3,9,,,,60m² square meters,1,,,,,,,,,Yes,No,64 kWh/m² kilowatt hour per square meters,A,38009-G-2015_58/EP02996/A001/D01/SD027,Not specified,Not specified,No,Kapellelaan 9 - Esplanade 8660- De Panne,http://www.immocattaert.be,,,,Yes,No,,Yes,West,"€ 345,000 345000 €",,,,2020,Good,,,No,,Duinenzee 0312,,No,Duinenzee 0312,,,,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,No,Yes,,No,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,
9202461,1,2,38,,,55m² square meters,1,19m² square meters,,,1,,1,,,No,Yes,326 kWh/m² kilowatt hour per square meters,F,20131223-0000203093-01-2,70 kg CO₂/m²,Not specified,No,Avenue François Sebrechts 26 1080- Molenbeek,http://www.perception-immobiliere.be,Depending on the tenant,25m² square meters,,No,,Gas,Yes,,"€ 169,000 169000 €",Semi equipped,5m² square meters,,,Good,,,,,4294272,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9201553,5,6,,,,65m² square meters,1,,,,1,,1,,,Yes,,82 kWh/m² kilowatt hour per square meters,B,615879-N-1-91-3-2,16 kg CO₂/m²,Not specified,No,Rue des Sablons 19 1000- Bruxelles,,After signing the deed,30m² square meters,,Yes,,Gas,Yes,,"€ 489,000 489000 €",USA hyper equipped,,,2017,As new,,Yes,No,,4294583,,No,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,,,,,75m² square meters,,,,,,,,,,,,,,,,,,,,,,,,
9204351,3,3,,,,85m² square meters,2,13m² square meters,10m² square meters,,1,,1,10m² square meters,South West,,Yes,549 kWh/m² kilowatt hour per square meters,F,20120117-0001014459-00000003-0,Not specified,Not specified,No,Molenstraat 74 9300- Aalst,http://www.immovansande.be,,30m² square meters,,,Yes,Gas,Yes,,"€ 179,000 179000 €",Installed,10m² square meters,,1972,Good,,,No,,,,,,,,,Yes,,,Yes,No,No,No,"Living area (residential, urban or rural)",,€ 647 647 €,,Non flood zone,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9204378,1,2,,1,,103m² square meters,3,13m² square meters,11m² square meters,9m² square meters,1,,1,16m² square meters,,No,,Not specified,Not specified,EPB in opmaak,Not specified,Not specified,No,Kattestraat 4 1730- Asse,http://www.valimmas.be,After signing the deed,28m² square meters,,,,Gas,Yes,,,USA hyper equipped,9m² square meters,,2021,As new,,,No,,4296148,2,No,,,,,,,Yes,Yes,No,Yes,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9204377,1,2,,1,,87m² square meters,2,13m² square meters,8m² square meters,,1,,1,16m² square meters,,No,,Not specified,Not specified,EPB in opmaak,Not specified,Not specified,No,Kattestraat 4 1730- Asse,http://www.valimmas.be,After signing the deed,31m² square meters,,,,Gas,Yes,,,USA hyper equipped,10m² square meters,,2021,As new,,,No,,4296144,2,No,,,,,,,Yes,Yes,No,Yes,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9204379,2,2,,1,,87m² square meters,2,13m² square meters,8m² square meters,,1,,1,16m² square meters,,No,,Not specified,Not specified,EPB in opmaak,Not specified,Not specified,No,Kattestraat 4 1730- Asse,http://www.valimmas.be,After signing the deed,31m² square meters,,,,Gas,Yes,,,USA hyper equipped,10m² square meters,,2021,As new,,,No,,4296150,2,No,,,,,,,Yes,Yes,No,Yes,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9204380,2,2,,1,,103m² square meters,3,12m² square meters,11m² square meters,9m² square meters,1,,1,16m² square meters,,No,,Not specified,Not specified,EPB in opmaak,Not specified,Not specified,No,Kattestraat 4 1730- Asse,http://www.valimmas.be,After signing the deed,28m² square meters,,,,Gas,Yes,,,USA hyper equipped,9m² square meters,,2021,As new,,,No,,4296151,2,No,,,,,,,Yes,Yes,No,Yes,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9204594,7,12,1,,"Living area (residential, urban or rural)",181m² square meters,4,20m² square meters,16m² square meters,14m² square meters,2,,3,5m² square meters,South West,Yes,Yes,179 kWh/m² kilowatt hour per square meters,D,20170620-0000506863-01-5,35 kg CO₂/m²,Not specified,No,Avenue René Gobert 26 1180- Uccle,,After signing the deed,45m² square meters,,Yes,Yes,Gas,Yes,,"€ 1,195,000 1195000 €",Hyper equipped,20m² square meters,LOUISE - ABBAYE DE LA CAMBRE - CHATELAIN,1949,As new,,,,,,2,,ABBAYE I,15 m,Yes,Yes,Yes,4m² square meters,Yes,Yes,No,No,No,Residential area with cultural historical aesthetic value,€ 350 350 €,"€ 2,890 2890 €",Cédric Mathonnet,,Yes,Yes,,Yes,,,,,,,,,,,,11m² square meters,,,,,,,,,,,,,,,,,,,
9204579,3,12,,,Urban,166m² square meters,3,18m² square meters,15m² square meters,12m² square meters,2,,,7m² square meters,South West,Yes,Yes,251 kWh/m² kilowatt hour per square meters,E,20140422-0000224509-01-7,75 kg CO₂/m²,Not specified,No,Avenue René Gobert 26 1180- Uccle,,After signing the deed,50m² square meters,,Yes,Yes,Gas,Yes,,"€ 1,275,000 1275000 €",Hyper equipped,20m² square meters,LOUISE - ABBAYE DE LA CAMBRE - CHATELAIN,1949,As new,,,No,,,2,,ABBAYE II,15 m,Yes,Yes,Yes,5m² square meters,Yes,Yes,No,No,No,Residential area with cultural historical aesthetic value,€ 300 300 €,"€ 2,570 2570 €",Cédric Mathonnet,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,12m² square meters,,,,,,,,,,,,,,
9205249,2,3,1,,"Living area (residential, urban or rural)",94m² square meters,2,12m² square meters,22m² square meters,,1,,,,,No,Yes,248 kWh/m² kilowatt hour per square meters,C,20150423002307,71 kg CO₂/m²,26453 kWh/year,No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,,28m² square meters,,No,,Electric,Yes,,,Installed,17m² square meters,Zone Centre Province du Luxembourg,2010,Good,,,No,,4255567,3,,,,,,,,,,,,,,,€ 827 827 €,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9204856,1,3,1,,Urban,123m² square meters,2,,,,1,,1,52m² square meters,,No,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,Beverestraat 106 9700- Oudenaarde,http://www.iva.be,,,,Yes,Yes,Gas,Yes,,"€ 379,900 379900 €",Installed,,,2020,,,,,,Luc & Louis - unit 2,,No,Luc & Louis,,,No,,,Yes,Yes,No,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,No,,No,No,,,,,,,,Yes,,,,,No,,,,,,,,,,,,,,,,,,
9206248,1,,29,,Shop street,90m² square meters,2,13m² square meters,8m² square meters,,1,,1,11m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,At delivery,38m² square meters,,Yes,,Gas,Yes,,,USA hyper equipped,,,2019,,,Yes,No,,18055 - NWB-21-SSC-0,2,,,,,,,,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9206256,1,,29,,Shop street,90m² square meters,2,13m² square meters,8m² square meters,,1,,1,11m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,At delivery,38m² square meters,,Yes,,Gas,Yes,,,USA hyper equipped,,,2019,,,Yes,No,,18196 - NWB-21-SSC-0,2,,,,,,,,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9206254,1,,29,,Shop street,85m² square meters,2,15m² square meters,,,1,,1,7m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,At delivery,33m² square meters,,Yes,,Gas,Yes,,,USA hyper equipped,,,2019,,,Yes,No,,18194 - NWB-21-SSC-0,2,,,,,,,,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9206255,1,,29,,Shop street,85m² square meters,2,15m² square meters,,,1,,1,7m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,At delivery,33m² square meters,,Yes,,Gas,Yes,,,USA hyper equipped,,,2019,,,Yes,No,,18195 - NWB-21-SSC-0,2,,,,,,,,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9206894,2,3,,,,70m² square meters,2,,,,1,,1,4m² square meters,,,,204 kWh/m² kilowatt hour per square meters,C,20190422-0000134610-RES-9,Not specified,Not specified,,"Kortrijksesteenweg, 390 bus 001 9000- Gent",http://www.axellenaerts.be,After signing the deed,,,,,,Yes,,,,,,,To renovate,,,No,,13423 - 8403,2,,,,,,,,,Yes,Yes,,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,No,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9206257,2,,29,,Shop street,134m² square meters,3,16m² square meters,10m² square meters,10m² square meters,1,,1,31m² square meters,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,At delivery,40m² square meters,,Yes,,Gas,Yes,,,USA hyper equipped,,,2019,,,Yes,No,,18201 - NWB-21-SSC-0,2,,,,,,,,Yes,Yes,Yes,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
