,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Available date,Construction year,Building condition,Street frontage width,Number of frontages,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Elevator,Accessible for disabled people,Intercom,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Outdoor parking spaces,Garden surface,Garden orientation,Conformity certification for fuel tanks,Covered parking spaces,Terrace surface,Planning permission obtained,Agent's name,Garden,Terrace,E-level (overall energy performance),Neighbourhood or locality,Attic surface,Bedroom 4 surface,Bedroom 5 surface,Basement surface,Professional space surface,Secure access / alarm,Living room,How many fireplaces?,Dressing room,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Obligation to build,Terrace orientation,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Maximum duration of annuity,Monthly charges,Number of annexes,Percentage rented,Property name,EPC description,Extra information,Age of annuitant
10019977,10019977,house,house,160000,forsale,5540,xl,semiequipped,,torenovate,fueloil,307,4,897,,true,897,true,,,1,1,,Namur,After signing the deed,,,To renovate,,3,,,225m²square meters,34m²square meters,,Semi equipped,,4,,,,1,,2,,,Yes,,No,897m²square meters,,,Yes,,,,,,307 kWh/m²kilowatt hour per square meters,D,Not specified,75 kg CO₂/m²,75205 kWh/year,No,Fuel oil,,,,,,,,"€ 160,000160000 €",€ 322322 €,No,Rue Grande 2 5500- Dinant,http://www.century21.be/immodemeuse-dinant,18597 - 04047/156,Namur,1,897m²square meters,South,,1,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9650603,9650603,house,house,229000,forsale,5100,xl,notinstalled,1920,torenovate,gas,250,3,413,,true,,,,,,,,Namur,After signing the deed,,1920,To renovate,,2,,,132m²square meters,,Yes,Not installed,8m²square meters,3,19m²square meters,14m²square meters,9m²square meters,1,,2,,,Yes,,No,413m²square meters,,,Yes,,,,,,250 kWh/m²kilowatt hour per square meters,C,20211202019448,46 kg CO₂/m²,50519 kWh/year,No,Gas,Yes,,,,,,,"€ 229,000229000 €",€ 815815 €,No,Place Joséphine Charlotte 4 5100- Jambes,http://www.primogest-immobilier.be,15721 - 21/LC043/124,Namur,,,East,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011946,10011946,house,apartmentblock,240000,forsale,5370,xl,semiequipped,1900,,fueloil,302,5,386,,,386,true,,,,,,Namur,Depending on the tenant,,1900,,,2,,,240m²square meters,25m²square meters,,Semi equipped,,5,,,,,1,2,,,,,No,386m²square meters,,,,,,,,,302 kWh/m²kilowatt hour per square meters,D,20220224000738,302 kg CO₂/m²,75232 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 240,000240000 €",€ 573573 €,Yes,Rue du Commerce 1 5590- Ciney,http://w3.century21.be/immodemeuse-ciney/fr/accueil-agency,18626 - 03981/137,Namur,,386m²square meters,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10064263,10064263,house,house,199000,forsale,5002,xl,semiequipped,1957,torenovate,fueloil,407,4,494,,true,,true,,,,,,Namur,After signing the deed,,1957,To renovate,,2,,,150m²square meters,,Yes,Semi equipped,28m²square meters,4,21m²square meters,15m²square meters,13m²square meters,1,,1,,,,,No,494m²square meters,,,Yes,,,,,,407 kWh/m²kilowatt hour per square meters,E,20220411020580,101 kg CO₂/m²,78789 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 199,000199000 €",€ 938938 €,No,Place Joséphine Charlotte 4 5100- Jambes,http://www.primogest-immobilier.be,15824 - 22/LC015/124,Namur,,,,,,35m²square meters,,,,,,,,12m²square meters,,22m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9993216,9993216,house,house,285000,forsale,5300,xl,installed,2001,tobedoneup,pellet,262,4,344,,,250,true,,true,,,,Namur,After signing the deed,May 24 2022 - 12:00 AM,2001,To be done up,,2,,Link to the virtual visit,160m²square meters,54m²square meters,,Installed,16m²square meters,4,23m²square meters,12m²square meters,15m²square meters,1,,2,,,,,No,344m²square meters,,Connected,No,No,No,,,Yes,262 kWh/m²kilowatt hour per square meters,D,20170704026324,65 kg CO₂/m²,44517 kWh/year,,Pellet,,,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 285,000Make an offer starting from285000 €","€ 1,4621462 €",No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4810965,Namur,,250m²square meters,,,,,,,,Yes,,,,18m²square meters,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092088,10092088,house,house,295000,forsale,5000,xl,installed,1930,,fueloil,487,4,1321,,true,,,,,1,1,,Namur,Depending on the tenant,,1930,,,4,,,218m²square meters,32m²square meters,,Installed,,4,,,,1,,2,,,Yes,,No,1321m²square meters,,,Yes,,,,,,487 kWh/m²kilowatt hour per square meters,F,20180322016490,120 kg CO₂/m²,106184 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 295,000295000 €",€ 656656 €,No,Rue Notre Dame 130 5000- Namur,,18698 - 04036/137,Namur,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092494,10092494,house,house,290000,forsale,5001,xl,installed,1958,good,gas,370,3,315,,true,220,true,,,1,,,Namur,After signing the deed,,1958,Good,,3,,,125m²square meters,25m²square meters,,Installed,9m²square meters,3,14m²square meters,11m²square meters,18m²square meters,2,2,2,,,Yes,,No,315m²square meters,,Connected,No,,,,,,370 kWh/m²kilowatt hour per square meters,E,20220607024024,69 kg CO₂/m²,45469 kWh/year,,Gas,,,,,,,,"Make an offer starting from€ 290,000Make an offer starting from290000 €",€ 880880 €,No,Chaussée de Marche 4745101- Erpent,http://www.latouretpetit.be,4898980,Namur,,220m²square meters,,,1,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9947250,9947250,house,house,295000,forsale,5530,xl,installed,1930,,fueloil,487,4,1321,,true,,,,,1,1,,Namur,Depending on the tenant,,1930,,,4,,,218m²square meters,32m²square meters,,Installed,,4,,,,1,,2,,,Yes,,No,1321m²square meters,,,Yes,,,,,,487 kWh/m²kilowatt hour per square meters,F,20180322016490,120 kg CO₂/m²,106184 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 295,000295000 €",€ 656656 €,No,Rue du Commerce 1 5590- Ciney,http://w3.century21.be/immodemeuse-ciney/fr/accueil-agency,18539 - 04036/137,Namur,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9950314,9950314,house,house,295000,forsale,5580,xl,installed,,justrenovated,gas,127,3,0,,,,true,,,1,,,Namur,After signing the deed,,,Just renovated,,3,Isolated,,175m²square meters,32m²square meters,,Installed,15m²square meters,3,14m²square meters,15m²square meters,35m²square meters,2,2,3,,,,,No,,,Connected,No,,,,,,127 kWh/m²kilowatt hour per square meters,B,20210625006751,27 kg CO₂/m²,24114 kWh/year,,Gas,,,,,,,,"€ 295,000295000 €",€ 498498 €,No,Route de Marche 25 5580- Rochefort,https://honesty.be/,4736871,Namur,,,,,1,,,,,Yes,,Zone Province de Namur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9958440,9958440,house,villa,299999,forsale,5060,xl,installed,2018,good,pellet,420,2,700,,true,,true,true,true,,8,,Namur,After signing the deed,,2018,Good,,4,,,108m²square meters,30m²square meters,Yes,Installed,8m²square meters,2,12m²square meters,10m²square meters,,1,1,1,7m²square meters,Yes,Yes,,No,700m²square meters,,,No,No,No,Yes,,Yes,420 kWh/m²kilowatt hour per square meters,E,20220517007576,108 kg CO₂/m²,420 kWh/year,,Pellet,Yes,,,,,,,"Make an offer starting from€ 299,999Make an offer starting from299999 €",€ 413413 €,No,"4, Place Sabatier 6031- MONCEAU-SUR-SAMBRE",,4794791,Namur,8,,,,,100m²square meters,,,,,,,,,,,6m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9933814,9933814,house,house,299999,forsale,5060,xl,installed,2018,good,pellet,420,2,700,,true,,true,true,true,,8,,Namur,After signing the deed,,2018,Good,,4,,,108m²square meters,30m²square meters,Yes,Installed,8m²square meters,2,12m²square meters,10m²square meters,,1,1,1,7m²square meters,Yes,Yes,,No,700m²square meters,,,No,No,No,Yes,,Yes,420 kWh/m²kilowatt hour per square meters,E,20220517007576,108 kg CO₂/m²,420 kWh/year,,Pellet,Yes,,,,,,,"Make an offer starting from€ 299,999Make an offer starting from299999 €",€ 413413 €,No,"4, Place Sabatier 6031- MONCEAU-SUR-SAMBRE",,4748962,Namur,8,,,,,100m²square meters,,,,,,,,,,,6m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9862291,9862291,house,house,298000,forsale,5000,xl,semiequipped,,torenovate,gas,444,5,133,,true,,,,,,,,Namur,,,,To renovate,,3,,,175m²square meters,,,Semi equipped,16m²square meters,5,18m²square meters,17m²square meters,13m²square meters,1,1,2,,,,,No,133m²square meters,,,,,,,,,444 kWh/m²kilowatt hour per square meters,F,20220330019114,85 kg CO₂/m²,34031 kWh/year,No,Gas,Yes,,,,,,,"€ 298,000298000 €","€ 1,7011701 €",No,Place Joséphine Charlotte 4 5100- Jambes,http://www.primogest-immobilier.be,15755 - 22/LC018/124,Namur,,,,,,,,,,,,,,13m²square meters,12m²square meters,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128057,10128057,house,house,310000,forsale,5100,xl,semiequipped,1961,tobedoneup,fueloil,385,4,255,,true,130,true,,,1,1,,Namur,After signing the deed,July 21 2022 - 12:00 AM,1961,To be done up,,3,,,190m²square meters,27m²square meters,Yes,Semi equipped,13m²square meters,4,10m²square meters,18m²square meters,17m²square meters,1,1,2,,,Yes,,No,255m²square meters,,Connected,,No,Yes,,,No,385 kWh/m²kilowatt hour per square meters,E,20220711012232,97 kg CO₂/m²,105784 kWh/year,,Fuel oil,Yes,,,,,,,"€ 310,000310000 €","€ 1,3481348 €",No,Chaussée de Marche 4745101- Erpent,http://www.latouretpetit.be,4809122,Namur,1,130m²square meters,,,1,26m²square meters,,,,,,,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10132288,10132288,house,house,325000,forsale,5300,xl,usainstalled,2016,asnew,gas,129,3,161,,,35,true,,,,1,,Namur,After signing the deed,September 13 2022 - 12:00 AM,2016,As new,,2,,,110m²square meters,12m²square meters,Yes,USA installed,8m²square meters,3,10m²square meters,10m²square meters,10m²square meters,1,1,2,,,,,No,161m²square meters,,Connected,No,,,,,,129 kWh/m²kilowatt hour per square meters,B,20160930503118,24 kg CO₂/m²,16298 kWh/year,,Gas,,,,,,Non flood zone,,"€ 325,000325000 €",€ 743743 €,No,Chaussée de Marche 4745101- Erpent,http://www.latouretpetit.be,4957848,Namur,1,35m²square meters,,,,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9596876,9596876,house,villa,329000,forsale,5100,xl,installed,1964,torenovate,fueloil,501,4,1872,,true,,,,,1,2,,Namur,After signing the deed,,1964,To renovate,,4,,,180m²square meters,,,Installed,16m²square meters,4,16m²square meters,14m²square meters,9m²square meters,1,1,2,,,Yes,,No,1872m²square meters,,,Yes,,,,,,501 kWh/m²kilowatt hour per square meters,F,20211030002421,124 kg CO₂/m²,114250 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 329,000329000 €","€ 1,5071507 €",No,Place Joséphine Charlotte 4 5100- Jambes,http://www.primogest-immobilier.be,15715 - 21/LC039/124,Namur,2,,,,1,,,,,,,,,9m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9596875,9596875,house,house,329000,forsale,5100,xl,installed,1964,torenovate,fueloil,501,4,1872,,true,,,,,1,2,,Namur,After signing the deed,,1964,To renovate,,4,,,180m²square meters,,,Installed,16m²square meters,4,16m²square meters,14m²square meters,9m²square meters,1,1,2,,,Yes,,No,1872m²square meters,,,Yes,,,,,,501 kWh/m²kilowatt hour per square meters,F,20211030002421,124 kg CO₂/m²,114250 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 329,000329000 €","€ 1,5071507 €",No,Place Joséphine Charlotte 4 5100- Jambes,http://www.primogest-immobilier.be,15714 - 21/LC039/124,Namur,2,,,,1,,,,,,,,,9m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067631,10067631,house,house,350000,forsale,5140,xl,hyperequipped,1950,tobedoneup,,202,6,3,,,,,,,,,,Namur,After signing the deed,,1950,To be done up,,3,,,250m²square meters,19m²square meters,Yes,Hyper equipped,20m²square meters,6,23m²square meters,20m²square meters,19m²square meters,2,,2,,,,,No,3m²square meters,,,Yes,,,,,,202 kWh/m²kilowatt hour per square meters,C,20190807015771,202 kg CO₂/m²,69935 kWh/year,No,,Yes,,,,,,,"€ 350,000350000 €",,No,Venelle de la réserve 2 1300- Wavre,http://www.goimmobilier.be,7140 - 5990,Namur,,,North East,,,,,,Yes,,,,,16m²square meters,14m²square meters,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082061,10082061,house,house,390000,forsale,5081,xl,semiequipped,,good,fueloil,417,3,1367,,true,,,,,1,,,Namur,To be defined,,,Good,,4,Countryside,,145m²square meters,27m²square meters,,Semi equipped,,3,,,,1,,2,,,Yes,,No,1367m²square meters,,,Yes,,,,,,417 kWh/m²kilowatt hour per square meters,E,20220825002311,Not specified,111552 kWh/year,No,Fuel oil,Yes,,,,,,,"Make an offer starting from€ 390,000Make an offer starting from390000 €",,No,Grand' Route 69 A 1435- Corbais,http://www.gilmont.be,8992 - 345346043,Namur,,,West,,1,,,,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124570,10124570,house,house,460000,forsale,5360,xl,semiequipped,2007,,fueloil,126,6,1199,,true,,true,,,1,5,,Namur,After signing the deed,,2007,,,4,,,240m²square meters,34m²square meters,Yes,Semi equipped,138020m²square meters,6,107730m²square meters,,,1,,2,,,Yes,,No,1199m²square meters,20 mmeters,,Yes,,,,,,126 kWh/m²kilowatt hour per square meters,B,2022090000146,31 kg CO₂/m²,31915 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 460,000460000 €",€ 895895 €,No,Rue du Commerce 1 5590- Ciney,http://w3.century21.be/immodemeuse-ciney/fr/accueil-agency,18710 - 04088/137,Namur,5,,North West,,1,50m²square meters,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000099,10000099,house,countrycottage,495000,forsale,5190,xl,usainstalled,1850,justrenovated,fueloil,409,4,795,,true,,,,,,2,,Namur,,,1850,Just renovated,,4,,Link to the virtual visit,214m²square meters,41m²square meters,,USA installed,,4,,,,1,2,2,,,Yes,,No,795m²square meters,,,,,,,,,409 kWh/m²kilowatt hour per square meters,E,20220629023433,102 kg CO₂/m²,119792 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 495,000495000 €",€ 704704 €,No,Grand' Route 69 A 1435- Corbais,http://www.gilmont.be,8978 - 345346038,Namur,2,,East,"Yes, conform",,,,,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9705743,9705743,house,mixedusebuilding,518000,forsale,5060,xl,semiequipped,1900,good,gas,408,5,176,true,true,,,true,,,,,Namur,After signing the deed,,1900,Good,14.45 m,2,Urban,Link to the virtual visit,363m²square meters,14m²square meters,,Semi equipped,18m²square meters,5,,,,2,4,7,15m²square meters,Yes,Yes,,,176m²square meters,13 mmeters,Connected,Yes,No,,Yes,Yes,,408 kWh/m²kilowatt hour per square meters,E,E,Not specified,20689 kWh/year,,Gas,Yes,122m²square meters,,,,,"Living area (residential, urban or rural)","€ 518,000518000 €",,Yes,Avenue de Dessus de Lives 2 5101- Jambes,http://www.weinvest.be,4455023,Namur,,,,,,,,,,,,,49m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082063,10082063,house,house,550000,forsale,5081,xl,semiequipped,,good,fueloil,417,3,3269,,true,,,,,1,,,Namur,To be defined,,,Good,,4,Countryside,,145m²square meters,27m²square meters,,Semi equipped,,3,,,,1,,2,,,Yes,,No,3269m²square meters,,,Yes,,,,,,417 kWh/m²kilowatt hour per square meters,E,20220825002311,Not specified,111552 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 550,000550000 €",,No,Grand' Route 69 A 1435- Corbais,http://www.gilmont.be,9005 - 345346043,Namur,,,West,,1,,,,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10073832,10073832,house,exceptionalproperty,700000,forsale,5032,xl,installed,,good,fueloil,424,8,5428,true,true,5000,true,,true,2,10,,Namur,To be defined,December 1 2022 - 12:00 AM,,Good,,4,,Link to the virtual visit,320m²square meters,45m²square meters,Yes,Installed,20m²square meters,8,22m²square meters,22m²square meters,21m²square meters,2,2,3,,,Yes,Yes,No,5428m²square meters,,Connected,,No,No,,,Yes,424 kWh/m²kilowatt hour per square meters,E,20220323019897,106 kg CO₂/m²,178009 kWh/year,,Fuel oil,Yes,,,,,,,"€ 700,000700000 €","€ 1,4591459 €",No,Chaussée de Marche 4745101- Erpent,http://www.latouretpetit.be,4878348,Namur,10,5000m²square meters,,"Yes, conform",2,280m²square meters,,,,,,,,19m²square meters,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9889818,9889818,house,villa,519000,forsale,5020,xl,installed,2002,asnew,gas,278,3,1164,,true,,true,,,1,2,,Namur,After signing the deed,,2002,As new,,4,,,223m²square meters,,Yes,Installed,21m²square meters,3,28m²square meters,16m²square meters,15m²square meters,1,,3,,,Yes,,No,1164m²square meters,,,Yes,,,,,,278 kWh/m²kilowatt hour per square meters,D,20150525004997,51 kg CO₂/m²,75024 kWh/year,No,Gas,Yes,,,,,,,"€ 519,000519000 €","€ 2,1022102 €",No,Place Joséphine Charlotte 4 5100- Jambes,http://www.primogest-immobilier.be,15765 - 51404,Namur,2,,South East,,1,,,,Yes,Yes,,,,,,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9901083,9901083,house,house,790000,forsale,5574,xl,installed,1965,good,fueloil,284,4,22374,,true,,,true,,3,10,,Namur,After signing the deed,,1965,Good,,4,,Link to the virtual visit,350m²square meters,75m²square meters,,Installed,30m²square meters,4,33m²square meters,26m²square meters,22m²square meters,3,,3,8m²square meters,Yes,Yes,,No,22374m²square meters,,,Yes,,Yes,,,,284 kWh/m²kilowatt hour per square meters,D,20200617003987,1000 kg CO₂/m²,101423 kWh/year,No,Fuel oil,Yes,,,,,,,"€ 790,000790000 €","€ 1,2511251 €",No,Rue de la Libération 59 5580- Rochefort,http://www.lesviviers.be/,9414 - 354968,Namur,10,,South,,3,,,,Yes,,,,,10m²square meters,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141554,10141554,house,house,195000,forsale,5560,xl,installed,,good,fueloil,444,3,530,true,true,,true,,,1,1,,Namur,To be defined,,,Good,,,,Link to the virtual visit,100m²square meters,35m²square meters,,Installed,8m²square meters,3,17m²square meters,11m²square meters,14m²square meters,,,2,,,Yes,Yes,No,530m²square meters,,Connected,Yes,,,,,,444 kWh/m²kilowatt hour per square meters,F,20220919016684,Not specified,Not specified,,Fuel oil,Yes,,,,,Non flood zone,"Living area (residential, urban or rural)","€ 195,000195000 €",,No,Rue De Bouillon 59 5570- Beauraing,http://www.condrogest.be,,Namur,1,,South West,,1,20m²square meters,,,Yes,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,,,,South West,,,,,,,,,,,,,,,,,,,,,,
10051996,10051996,house,mixedusebuilding,845000,forsale,5100,xl,usainstalled,1975,good,gas,193,6,133,,true,,,,,,,,Namur,Immediately,April 28 2022 - 12:00 AM,1975,Good,,2,,,,20m²square meters,Yes,USA installed,10m²square meters,6,12m²square meters,16m²square meters,13m²square meters,4,4,5,,,Yes,,No,133m²square meters,,Connected,No,,,,,,193 kWh/m²kilowatt hour per square meters,C_B,20150121000909,36 kg CO₂/m²,11723 kWh/year,,Gas,Yes,,,,,,,"€ 845,000845000 €","€ 4,4174417 €",Yes,Chaussée de Marche 4745101- Erpent,http://www.latouretpetit.be,4864757,Namur,,,,,,,,,,,,,,16m²square meters,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147372,10147372,house,house,300000,forsale,5377,xl,,1912,good,fueloil,252,4,694,true,true,1051,true,,,,2,,Namur,To be defined,,1912,Good,14.75 m,4,Countryside,Link to the virtual visit,157m²square meters,38m²square meters,Yes,,20m²square meters,4,20m²square meters,15m²square meters,11m²square meters,1,,2,,,Yes,,No,694m²square meters,71.3 mmeters,,No,,,,Yes,,252 kWh/m²kilowatt hour per square meters,C,20220925001854,67 kg CO₂/m²,55888 kWh/year,,Fuel oil,Yes,102m²square meters,,,,,,"€ 300,000300000 €",€ 434434 €,No,Borchamps 24 6900- Marche-en-Famenne,http://www.easyhome-immo.be,4930111,Namur,2,1051m²square meters,,,,73m²square meters,,,,,,,19m²square meters,11m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
10131238,10131238,house,house,69900,forsale,5680,xl,notinstalled,1850,torestore,,675,3,327,true,true,150,true,,,1,1,,Namur,After signing the deed,,1850,To restore,8 m,2,Isolated,,150m²square meters,20m²square meters,Yes,Not installed,10m²square meters,3,16m²square meters,17m²square meters,18m²square meters,1,1,1,,,Yes,Yes,No,327m²square meters,8 mmeters,Not connected,No,No,No,,Yes,No,675 kWh/m²kilowatt hour per square meters,G,20210828000816,66 kg CO₂/m²,105919 kWh/year,No,,Yes,88m²square meters,No,No,No,Non flood zone,Residential park,"Make an offer starting from€ 69,900Make an offer starting from69900 €",€ 260260 €,No,rue de Pont-à-Celles 10 6238- Luttre,http://www.pacimmo.be,4957518,Namur,1,150m²square meters,,,1,20m²square meters,,,,,,Wallonne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088250,10088250,house,house,600000,forsale,5574,xl,hyperequipped,,good,fueloil,298,13,2170,true,,,true,,,1,1,,Namur,To be defined,,,Good,,,,Link to the virtual visit,626m²square meters,,,Hyper equipped,,13,,,,,4,5,,,,Yes,Yes,2170m²square meters,,Connected,Yes,,,,,,298 kWh/m²kilowatt hour per square meters,D,20220516016316,Not specified,Not specified,,Fuel oil,Yes,,,,,,,"€ 600,000600000 €",,Yes,Rue De Bouillon 59 5570- Beauraing,http://www.condrogest.be,,Namur,1,,,,1,,,,,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
10104145,10104145,house,house,200000,forsale,5376,xl,semiequipped,,torenovate,,413,3,4301,true,true,4301,,,,1,,,Namur,,March 1 2023 - 12:00 AM,,To renovate,,4,,,164m²square meters,17m²square meters,,Semi equipped,16m²square meters,3,12m²square meters,12m²square meters,11m²square meters,,,1,,,Yes,Yes,No,4301m²square meters,,Connected,Yes,,,,,,413 kWh/m²kilowatt hour per square meters,E,20220829018866,Not specified,Not specified,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 200,000200000 €",€ 328328 €,No,"Rue du Commerce, 124 5590- Ciney",http://www.condrogest.be,,Namur,,4301m²square meters,South,,1,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088073,10088073,house,mixedusebuilding,269000,forsale,5170,xl,notinstalled,1958,torenovate,,549,3,2356,true,true,2206,,true,,1,10,,Namur,,,1958,To renovate,17 m,4,Countryside,Link to the virtual visit,200m²square meters,,Yes,Not installed,12m²square meters,3,16m²square meters,16m²square meters,6m²square meters,1,1,2,,Yes,Yes,Yes,No,2356m²square meters,80 mmeters,Not connected,No,No,No,,Yes,No,549 kWh/m²kilowatt hour per square meters,G,G,Not specified,86410 kWh/year,,,Yes,150m²square meters,,No,No,Non flood zone,Farming area,"€ 269,000269000 €",€ 565565 €,Yes,Rue de l'eglise 14 5170- Lesve,http://www.inwee.be,4898395,Namur,10,2206m²square meters,,,1,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123595,10123595,house,house,145000,forsale,5002,xl,,,torenovate,gas,,3,1298,,,1000,true,true,,2,1,,Namur,After signing the deed,,,To renovate,,3,,,120m²square meters,29m²square meters,,,10m²square meters,3,20m²square meters,12m²square meters,9m²square meters,1,1,2,,Yes,,,No,1298m²square meters,,,Yes,,Yes,,,,Not specified,Not specified,20180309012795,Not specified,Not specified,No,Gas,Yes,,,,,Non flood zone,,"€ 145,000145000 €",€ 649649 €,No,Chaussée de Huy 231 1325- Chaumont-Gistoux,http://www.trust-realestate.be,5571 - 4518047,Namur,1,1000m²square meters,South,,2,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
